,Review,Stars,Dt,City/St,City,State,Retailer
0,I I bought two pillowcase bed sham from Bed Bath & Beyond. When I took the them out of the package has the colors are slightly off. I tried to return one of them just for a simple exchange to try to get to that simply matched. The manager of the store is incompetent idiot - Burlington Massachusetts. Don't waste your time going there if you have any problems whatsoever and a lot of their products are just plain crap. Thank you.,1," Jan. 8, 2022","Newton, MA",Newton, MA,Bed Bath and Beyond
1,"They cancelled my Christmas order so my gift never arrived. No explanation given. Spent 20 minutes on phone with customer service, who committed to calling me back after finding out why the manager cancelled my order. Never heard anything. They have no customer service and they do not value the business of their customers. In doing this review, discovered there are many, many complaints. I choose not to give my money to disrespectful companies that could care less about doing their jobs and addressing customer concerns.",1," Jan. 4, 2022","Penn Valley, CA",Penn Valley, CA,Bed Bath and Beyond
2,"When I placed a order for a electric blanket on 12-19-21 my only shipping option was standard ground. On 12-20 BBB notified FedEx that my package was ready to pick up. On 12-23 FedEx finally picked up my package in Texas and I was given a delivery date of 12-26. Well... on 12-27 FedEx finally left Texas with my package and on its way to GJ Colorado. On 12-28 I was notified of a scan in Henderson CO and then finally received a new delivery date.... on 01-04-22!!! BBB really needs to give customers more shipping options and they need to find a better shipping company than FedEx, like UPS, DSL and USPS!",1," Dec. 28, 2021","Fruita, CO",Fruita, CO,Bed Bath and Beyond
3,Two orders did not arrive…although their customer service said that they were delivered. Three hours to contact customer service..and then was promised delivery. Still not received. I was promised same day delivery. Should say: NO DAY DELIVERY. They have my money. I have no product. The thought of trying to contact customer service again is a hopeless thought. I really do not know how to have anyone solve this. How can a business be run like this with no concern for the customer whatsoever. They make it as difficult as possible to reach customer service. I can't even ask for a refund since I cannot get the products delivered. Money and hours wasted!! Shame on BBB!! Never put faith in BBB to come through honestly.,1," Dec. 20, 2021","Larkspur, CA",Larkspur, CA,Bed Bath and Beyond
4,"WORST customer service ever!! Can't reach anyone & they have $111.00 of my money for a package FedEx supposedly delivered to a wrong address, almost 2 wks ago. I can not reach them to even give them the case # to have my money refunded. I have called over & over, used the virtual chat, called the location it came from, and nothing. My time has been wasted over & over. ",1," Dec. 7, 2021","North Hollywood, CA",North Hollywood, CA,Bed Bath and Beyond
5,"I order and shop in store a TON. I started doing same day delivery a few months ago. A few weeks ago ordered OXO containers, they came scratched from being just thrown in the bag. Last week ordered a Ninja knife set and when it was dropped off the box was not sealed and only the knife block was in the box. I’ve contacted Bed Bath and Beyond over 4 times about this with zero resolution. Told 2-3 days and still nothing. I offered to return the block with a label. I was told to either drop it off at the store or discard the block. Also, I’ve requested a receipt from a few months ago to make a return and still no receipt. No communication except call center employees giving us false information.",1," Dec. 6, 2021","Tarpon Springs, FL",Tarpon Springs, FL,Bed Bath and Beyond
6,I ordered a bed for my grandson on November 4th and it is now December 1st and bed still has not arrived in full. Have written emails have called and still not gotten any help. They ask for the part that we have not received and I sent them a picture and they said oh you didn't send it so we can't resolve this. So I sent it again and wrote them and told them that I have proof,1," Dec. 1, 2021","Newnan, GA",Newnan, GA,Bed Bath and Beyond
7,"I have experienced this problem multiple times with Bed Bath & Beyond, and have expressed my frustration to them each time -- but nothing changes. When I return an item, I expect my refund in 1 - 2 days. Every other retailer -- Walmart, Target, CVS, Home Depot, etc. -- refunds my money back into my bank or onto my credit card in 1 - 2 days. Not BB&B. Three to five days, or even longer. They have their item back AND they still have my money. This is not standard practice for the industry. Shame on you, BB&B.",1," Nov. 18, 2021","Santa Cruz, CA",Santa Cruz, CA,Bed Bath and Beyond
8,"Bed Bath & Beyond has delayed my shipping twice. When I spoke with the customer representative for the first time, it was suggested the best way to get my order on the day I need was to cancel my current order and place a new one to pick it up at a store near me. I placed a new order to pick it up at a store; however, my original order was never canceled. I received a second email saying my original order is being delayed. I called Bed Bath & Beyond which the representative says this time the order can only be canceled after 30 minutes of placing it. It is unacceptable that a store the size of Bed Bath & Beyond does not have a better system in place. If my item has never been shipped it should be an easy fix for them to do. ",1," Nov. 10, 2021","Austin, TX",Austin, TX,Bed Bath and Beyond
9,"When I think about the thousands and thousands of $$$ I spent in their local store over the years... now with the pandemic and having become elderly and ill, all purchases are online. Well, I purchased a set of Oxo bowls which were featured in their catalog. When I took them out of the box, they were much too heavy for me. Put them right back in the box, taped it up and my son took to the UPS/FedEx store for immediate return -- UNUSED. Their policy is refund to the original method of payment, which is my BB&B charge account. Lo and behold, I received a merchandise gift card for $68 in the mail from them. ",1," Oct. 1, 2021","Phila., PA",Phila., PA,Bed Bath and Beyond
10,"My product was more than eight days late, and has been sitting in Indiana indefinitely. I had to be the one to contact them to initiate a return or replacement. This company made me feel invisible. They truly won't do anything to help you if something goes wrong.",1," Sept. 6, 2021","Milwaukee, WI",Milwaukee, WI,Bed Bath and Beyond
11,"I ordered a vacuum $200. They delivered it to the wrong address. My neighbour's. I went outside right away when I received their tracking **. It was delivered. I gave 1 star 5 times. No vacuum outside. No package outside. I asked my neighbour if they received a package and they said no way. They would have given it to me. They know my name. I called Bed Bath and Beyond and they gave me the run around and said, ""Go ask your neighbours."" I did. I also sent emails asking for a signature or a picture of the package outside the door they delivered it to. Guess what? Because of Covid they have neither!!! I am out $200 and a vacuum. I work retail also and we do not treat customers this way at all. Thanks for nothing bed bath and beyond. I will never ever go into the store again. Their reviews are all right so BUYER BEWARE when you shop here.",1," Aug. 21, 2021","Mississauga, Other",Mississauga, Other,Bed Bath and Beyond
12,"I first tried to order some champagne glasses. They appeared to be in stock, until I put them in the cart. I signed up to get a back in stock notification on Aug. 6th. I did receive one on Aug. 17th. I ordered the glasses and used my 20% off coupon that I get all time. My delivery was between 8/24 - 8/25. On 8/18 I get a notification that my delivery was running behind and the new date was 8/25 - 8/26. Today on 8/20 I get a notification ""Unfortunately we're not able to fulfill part of your order"" and they canceled my order. This is really annoying as I was expecting these glasses for a party. I guess I will go ahead and buy them from another website, which I was going to in the first place. This is not the first time I've had this type of problem with BB&B.",1," Aug. 20, 2021","Palm Springs, CA",Palm Springs, CA,Bed Bath and Beyond
13,"I ordered a onesie for my grandson. A couple of days later I received a notification that it had been shipped. Two days later, it still showed that it had not been sent to a carrier so I called them. They told me it was out of stock and they would refund my money. Why in the world would they tell me something shipped when they didn't actually have it in stock? That's unethical and should be illegal. It seems like every time I try to orders something, I get an out of stock when I go to checkout. While I understand there are shortages due to COVID, be honest about it and tell me it's out of stock before I put it in my cart.",1," Aug. 1, 2021","Annandale, VA",Annandale, VA,Bed Bath and Beyond
14,"The last few online orders I placed with BBB have been a disaster. Defective merchandise arrives that never should have passed quality control, packages arrive late or not at all, etc. This company used to have much higher standards; now I think you can get better service from a vending machine. SHAME ON THEM!",1," July 22, 2021","Boca Raton, FL",Boca Raton, FL,Bed Bath and Beyond
