,Review,Stars,Dt,City/St,City,State,Retailer
0,"I have a tent that I called about the stitching came apart at the top and the tent collapsed on me. They told me the poles have a warranty but not the fabric. Below is the photos of the conversation. What a joke Walmart, you guys are horrible. Don't buy from them period.",1," Jan. 31, 2022","West Chester, OH",West Chester, OH,Walmart
1,"I physically returned my items to the Walmart store on 11/28/2021. I got 5 separate return recipes. I kept track my refund, still not get anything. I called many many times. The service to me was terrible. They kept telling me will refund me, but till tonight, I still get nothing. And instead, I received an email that they did not get the returned items... which is not my problem, the Walmart store should be responsible for these items. But I never get refund after I returned. I wish somebody can help me. Never recommend Walmart service!",1," Jan. 22, 2022","Orchard Park, NY",Orchard Park, NY,Walmart
2,I called customer service many times telling them I had not ordered certain items and that I could see the items were being sent to another name and STATE. They would not cancel the order and would not give me a refund. They are responsible for my bank information being STOLEN!!!!,1," Jan. 18, 2022","Moberly, MO",Moberly, MO,Walmart
3,I went to the one on 5401 Fairington Rd Lithonia GA to get my son some milk and a manager thought it was funny to post a picture on her Instagram talking about me and not when I go in with my child. I feel very uncomfortable.,1," Jan. 15, 2022","Lithonia, GA",Lithonia, GA,Walmart
4,"Ordered an Item, recieved it broken, tried to get replacement fast and got zero help from customer service who did nothing but deflect and tried to make the process take longer when I told them I needed it faster. If at all possible buy elsewhere. I don't want anyone else to have to go through this experience.",1," Jan. 12, 2022","Saint Paul Park, MN",Saint Paul Park, MN,Walmart
5,"I received a Walmart.com Circular in the mail advertising products included the Black Friday 2021 sale. Excited that they had included a PowerXL Air Fryer Home Pro for $69, I placed one of the first orders online for this product on Black Friday. Everything went well in the ordering process and I received an email saying that I would receive the product in four days. Four days came & went with no order received so I called to check on the status. Forty-nine days later, I am no closer to receiving the order I placed at the start of Black Friday week.",1," Jan. 12, 2022","Plano, TX",Plano, TX,Walmart
6,Wal-Mart put tires on my van that are not recommended for it. Not the ones I wanted put on....they said they were out of stock of those.... I didn't realize it till I looked on their site when I got home. Still waiting on a call back from manager. Worst customer service ever!,1," Jan. 6, 2022","Wills Point, TX",Wills Point, TX,Walmart
7,"The store located in Hallandale on Hallandale Beach Blvd near S Ocean Drive is the worst customer experienced. I travelled from Miami to this location to pick up a few cans of spray paint. I waited for over 30 minutes asking employees for the key to the spray paint cabinet and no one could help. Then finally she said she was a manager and went to go look for the key, 10 minutes later she said the guy who has the keys took them home last night and they could not open the cabinet. I wasted time and money coming here and could not buy the paint. This is not the 1st time I had problems with this location, They have a customer service box and I press the button for service many, many times and NO ONE comes. What's the point of this box? Why can't you have more than 1 key for the paint cabinets. Why do you lock them if no one can open them? I hate this location and I hate Walmart for the useless customer service!",1," Jan. 2, 2022","Hallandale, FL",Hallandale, FL,Walmart
8,"I ordered vitamins online with a promise of overnight delivery. A week later they still aren't here and they won't let me cancel. I would NOT recommend that you get anything delivered by Walmart, now I see why everybody is starting to hate their business.",1," Dec. 30, 2021","Colorado Springs, CO",Colorado Springs, CO,Walmart
9,"Walmart.com is the worst place for anyone to shop as is their stores. They are filthy. As for walmart.com anyone you talk to is offshore and they will not transfer you to USA rep. nor can you reach corporate Walmart. I ordered several things online and not only did they not arrive, I have the USPS tracking code which states they never got the pkg but a label was printed. Now when I look at my account order it states it was delivered but I have proof it was not. Fraudulent company F&N Mart never sent the product but charged my card. Customer service after hours on the phone with them and by email was the worst ever. I hate Amazon but at least your delivery gets here, USPS and Fed Ex and UPS stand behind you, walmart.com does not...and corporate doesn't want to talk to you either. I wonder why? Complaints I am sure!!",1," Dec. 29, 2021","Brookfield, WI",Brookfield, WI,Walmart
