,Review,Stars,Dt,City/St,City,State,Retailer
3,"The store does NOT put up notices nor do the sales associates inform that the food/candy is not returnable the time of purchase. When I tried to return the overpriced, unopened vanilla extract and 2 tins of the holiday candy (with receipt) I was informed by the sales associate that it was dangerous to take back food items and the store policy do not to accept returns on these items. When I asked where the sign stating that, she said it was on the receipt. That is bad policy and business practices as you only get a receipt AFTER purchasing item, making it immediately non-returnable.",1," Jan. 4, 2022","Oakland, CA",Oakland, CA,Williams Sonoma
4,I have loved this store for years and years. Over the last year or so I have been getting more and more disappointed. Ordered something a year ago that was not in stock and was backorder for a few months. Once that time came their warehouse canceled the order without calling us. When we called into support they said they reordered it. A month later when we did not get it still called again and was told that they were waiting on a call from us. WHAT???? Last item I ordered I received yesterday a beautiful ginger jar. It was on sale half off or a bit more. It was chipped and the jar lid was too small for the base opening. Called support to get a replacement and a return shipping package for the faulty product. Was told that due to it being on sale no refund or return. I want a product I paid for not a defective product. Don't think I will be ordering anything online from them again.,1," Dec. 30, 2021","Parsons, KS",Parsons, KS,Williams Sonoma
5,I purchased 2 mirrors in November 2021 and 4 light sconces for a brand new bathroom we were building. In December mirrors arrived but 1 was damaged- they advised me to send it back and issued me a replacement number and assured me the new mirror was being sent. Fast forward to December 23rd no mirror so I call to see where it is as the contractors have installed my other matching mirror - entire bathroom has been built around these mirrors and lights and I am told sorry no mirror was shipped or will be shipped as it is discontinued. ,1," Dec. 27, 2021","Mississauga, Other",Mississauga, Other,Williams Sonoma
6,"Nothing I have ordered has ever been satisfactory. I am done with Williams Sonoma. Sub par products at overly inflated pricing. One run around after another, all the while saying ""they care"". There is a term for that, and it involves the backend of a bull.",1," Dec. 22, 2021","Vernon Hills, IL",Vernon Hills, IL,Williams Sonoma
7,"Nowhere in the store do they provide notice that the food/candy is not returnable, nor do the sales associates notify before the sale that the food/candy in not returnable. When I tried to return 3 tins of the holiday candy (with receipt) I was informed by the sales associate that it was store policy not to accept returns on these items. When I asked where the sign was stating that, they said it was on the receipt. Problem is, you only get a receipt AFTER purchasing item, making it immediately non-returnable. Bad policy here.",1," Dec. 22, 2021","Richardson, TX",Richardson, TX,Williams Sonoma
8,"I order the insta Pot with an expected delivery date of 12/17-12/21. I went online to check the tracking of the item and now it states an expected delivery date of 1/6-1/10... no email notification or any communication from WS. I called to cancel the item and literally got the runaround and was told I could not cancel the order because it was in ""backorder""...if it has not shipped then why can I not cancel it? My intent was to cancel and pick up at the local store but now I will wait and return it to the store but now I will include the Air Fryer I bought and the Griddle (total of $500 of purchases) and instead go to Sur La Table. I have spent a fortune at WS and after this customer service experience, I will not spend another dime!",1," Dec. 22, 2021","Temecula, CA",Temecula, CA,Williams Sonoma
9,"Ordered frozen egg bites on 12/07, and requested a 12/17 delivery. Called on 12/20 to get an update and waited over an hour to speak to a person. Was told by Ashanti they have an ETA of 12/22 to their distribution center in Ohio, and that they would not give me a refund or expedite shipping so there is zero chance I'll have them for my brunch the morning of 12/24. Why wasn't I informed there was a stock issue prior to 12/17? Why is this item still on the website with ""order by 12/21 for Christmas delivery"", when they haven't even fulfilled my order from 12/07? I noticed there are no item reviews on the website today. I'm assuming that's because there are a ton of people who won't be getting their Christmas orders in time.",1," Dec. 20, 2021","Caledonia, WI",Caledonia, WI,Williams Sonoma
11,"This review is for both the Williams-Sonoma and Mark & Graham brands. In both cases, please read the return policy. In both cases I was not refunded a substantial amount of money. The Mark & Graham issue is not yet resolved. I ordered on Dec 4th for a Dec 17-20 delivery. This AM I received notice that the delivery will now be Dec 27 -29. After Christmas and after we are no longer at the shipping address. In this case, I was withheld the shipping fee even though the item had not yet shipped! Really? I will never buy from any of the Williams-Sonoma brands ever again!",1," Dec. 16, 2021","Fort Myers, FL",Fort Myers, FL,Williams Sonoma
12,"I paid $166.00 for the Thanksgiving side dishes. The packaging upon arrival said to reheat the frozen food in a conventional oven. Apparently you were not supposed to use a microwave. We heated the food and the mashed potatoes, stuffing and other dishes were absolutely horrible. We ended up throwing everything away. How could they mess up mashed potatoes? Absolutely terrible food and I would not recommend that anyone buy food from this company.",1," Dec. 13, 2021","Las Vegas, NV",Las Vegas, NV,Williams Sonoma
13,"A very disappointing experience with both a WS product and the brand itself. I ordered an espresso advent calendar from WS (final sale) and was unhappy to find that the capsules do not work in my Nespresso machine as advertised. I have attempted to review this product twice in order to help others avoid the same ‘final sale’ mistake and both times my honest and measured review has been ‘moderated’ per WS. As they have not provided any others specifics, I am unsure as to why they will not my post review... but as there are no other reviews for this product, I have my suspicions. It saddens me that a company I used to respect for both quality offerings and customer service has gone the way of refusing to stand behind their products on top of not allowing feedback that would help other customers.",1," Dec. 2, 2021","Yarmouth Port, MA",Yarmouth Port, MA,Williams Sonoma
