,Review,Stars,Dt,City/St,City,State
0,"I bought online and had delivered, same day a car seat/stroller. My card was charged 80 dollars more. I called the NE Target store, lady #1 and manager sent me on wild goose chase. When the answer was so simple, know your policy!",1," Jan. 23, 2022","Derby, KS",Derby, KS
1,"Target refused to explain why my gift card not working. I already went to Target store to retrieve video clip showing that I checked balance before shopping, I had $100 balance in my card at AM10:17. But at AM10:35, this card cannot be used when I check out. Even Target store manager/security can provide such proof, I still cannot get the balance back and Target cannot explain where the gift card balance went. ",1," Jan. 6, 2022","Los Altos, CA",Los Altos, CA
2,I decided to try shopping Target online because I couldn't find the Akedo mystery pack anywhere else. The reason for buying these are to find rare action figures. You don't know which character you are getting until you open the package. One of the characters are very rare and worth a lot of money. I ordered 10 packages the first time and over half had been opened. I was very disappointed but decided to give them another opportunity. The next time I ordered 20 Akedo mystery packs and when I received them every one of them had been pre opened. They had to have been shipped that way from Target because they were in sealed Target boxes. I probably shouldn't have ordered a second time. That was my mistake. There will not be a third.,1," Jan. 6, 2022","Paris, TX",Paris, TX
3,TARGET lost the card and trying to get a replacement has been a nightmare. I have been disconnected (hung up on) 17 times. You cannot understand what they are saying because of broken English. I am still waiting for the replacement card that I ordered back in November. Very rude and hard to understand. My poor granddaughter still has not received her Christmas gift. DO NOT BUY ANYTHING ONLINE FROM TARGET. HORRIBLE EXPERIENCE.,1," Dec. 30, 2021","Macomb, MI",Macomb, MI
4,"Complaint against Target today 12/27/2021. I’m very disappointed for action from the Team Associate to resolve an issue related to don’t let me buy a little Lego bag toy for my 7 years old son. This store isn’t oriented for the customer service. SuperTarget located at 10150 Bloomingdale Avenue. Riverview, FL. 33578. USA",1," Dec. 28, 2021","Riverview, FL",Riverview, FL
5,"MJ has only web-chat for tech support. Long wait & time-consuming service. When problem not resolved and I wanted to return new device, Tech Support told me to talk to Billing, and vice versa. Nothing resolved.",1," Nov. 5, 2021","Greenfield, TN",Greenfield, TN
6,"I placed an order at the beginning of October for some photo prints. Today is 10.14.21 and I am still waiting on that. I was trying to get those prints before my trip out of the country, I am leaving today without photos. Do not bother to order photo prints from Target is going to take forever, look for other alternatives BUT Target.",1," Oct. 14, 2021","Waukegan, IL",Waukegan, IL
7,Terrible service. Do not shop here! Ordered same day pick up at store. Told it would take up to 2 hours to process. 2.5 hours later I stopped by the store. Order still not processed. Told I could wait but no guarantee they would get to it before closing. Staff had no interest in fulfilling the order. Will not shop at Target anymore.,1," Oct. 11, 2021","Chico, CA",Chico, CA
8,"This is one of several visits I have made to Target's app to try and make a purchase. Firstly, search results leave a lot to be desired. Search for something and get results that have nothing to do with what you are looking for. Search with different key words and it gets more aggravating and more irrelevant. Then, if you do find things you'd like, there is a guessing game on shipping costs. Some items qualify for free shipping and some don't. Listen Target, most shoppers don't have time to play ""does it or doesn't it qualify for free shipping games"". I can understand why Amazon is so successful online, like the company or not. It's a very simple process without wasting time. If Target would put as much emphasis on making their business more convenient for the public rather than more convenient for Target then maybe their online sales would should increases like Amazon's does. TO the CEO, worry more about improving online customer service than forcing divisive cultural issues down the public's throat!!",1," Oct. 10, 2021","Pueblo, CO",Pueblo, CO
9,I ordered school supplies online and was given estimated delivery date. The next day I received an email that my delivery is delayed... This happens every time I order online from Target.com. I'm not happy with their online business.,1," Sept. 15, 2021","New York, NY",New York, NY
